date,open,high,low,close,volume
20230306 18:00:00 US/Eastern,1846.34,1853.75,1845.11,1846.63,-1
20230306 18:30:00 US/Eastern,1846.75,1847.22,1846.34,1846.96,-1
20230306 19:00:00 US/Eastern,1845.07,1846.46,1844.07,1845.21,-1
20230306 19:30:00 US/Eastern,1845.44,1846.23,1844.76,1845.67,-1
20230306 20:00:00 US/Eastern,1845.74,1846.72,1844.81,1845.91,-1
20230306 20:30:00 US/Eastern,1847.22,1848.68,1845.85,1847.42,-1
20230306 21:00:00 US/Eastern,1849.47,1850.66,1847.23,1849.67,-1
20230306 21:30:00 US/Eastern,1849.56,1850.36,1848.89,1849.69,-1
20230306 22:00:00 US/Eastern,1848.41,1849.39,1847.75,1848.6,-1
20230306 22:30:00 US/Eastern,1847.7,1849.16,1846.61,1847.86,-1
20230306 23:00:00 US/Eastern,1847.62,1848.41,1847.09,1847.8,-1
20230306 23:30:00 US/Eastern,1848.1,1848.94,1847.08,1848.23,-1
20230307 00:00:00 US/Eastern,1847.71,1848.66,1846.93,1847.9,-1
20230307 00:30:00 US/Eastern,1848.46,1849.67,1847.2,1848.66,-1
20230307 01:00:00 US/Eastern,1847.67,1848.65,1847.2,1847.88,-1
20230307 01:30:00 US/Eastern,1847.68,1848.46,1846.83,1847.86,-1
20230307 02:00:00 US/Eastern,1847.85,1851.71,1845.5,1848.03,-1
20230307 02:30:00 US/Eastern,1849.72,1851.79,1848.38,1849.98,-1
20230307 03:00:00 US/Eastern,1847.62,1849.86,1846.0,1847.82,-1
20230307 03:30:00 US/Eastern,1847.13,1848.52,1846.13,1847.3,-1
20230307 04:00:00 US/Eastern,1846.0,1847.21,1844.99,1846.17,-1
20230307 04:30:00 US/Eastern,1845.02,1846.55,1843.42,1845.2,-1
20230307 05:00:00 US/Eastern,1843.58,1844.46,1843.0,1843.75,-1
20230307 05:30:00 US/Eastern,1843.42,1844.34,1842.71,1843.58,-1
20230307 06:00:00 US/Eastern,1843.13,1844.11,1842.3,1843.28,-1
20230307 06:30:00 US/Eastern,1842.02,1842.91,1840.9,1842.16,-1
20230307 07:00:00 US/Eastern,1841.02,1842.13,1840.5,1841.2,-1
20230307 07:30:00 US/Eastern,1839.58,1841.06,1838.95,1839.78,-1
20230307 08:00:00 US/Eastern,1837.88,1840.35,1833.9,1838.04,-1
20230307 08:30:00 US/Eastern,1835.39,1837.49,1833.39,1835.54,-1
20230307 09:00:00 US/Eastern,1833.86,1835.72,1832.1,1834.01,-1
20230307 09:30:00 US/Eastern,1831.5,1833.73,1830.0,1831.65,-1
20230307 10:00:00 US/Eastern,1824.23,1832.02,1821.28,1824.39,-1
20230307 10:30:00 US/Eastern,1820.88,1826.18,1815.63,1821.02,-1
20230307 11:00:00 US/Eastern,1818.88,1820.88,1816.79,1819.02,-1
20230307 11:30:00 US/Eastern,1819.44,1821.22,1817.78,1819.55,-1
20230307 12:00:00 US/Eastern,1821.26,1823.27,1819.89,1821.37,-1
20230307 12:30:00 US/Eastern,1818.49,1820.98,1816.84,1818.66,-1
20230307 13:00:00 US/Eastern,1816.21,1818.33,1814.64,1816.43,-1
20230307 13:30:00 US/Eastern,1814.72,1817.04,1812.98,1814.86,-1
20230307 14:00:00 US/Eastern,1814.81,1815.88,1813.8,1814.97,-1
20230307 14:30:00 US/Eastern,1813.49,1814.84,1812.71,1813.68,-1
20230307 15:00:00 US/Eastern,1814.79,1815.52,1813.87,1814.93,-1
20230307 15:30:00 US/Eastern,1815.06,1816.17,1813.82,1815.22,-1
20230307 16:00:00 US/Eastern,1814.47,1815.15,1813.79,1814.66,-1
20230307 16:30:00 US/Eastern,1813.62,1814.41,1813.02,1813.86,-1
20230307 18:00:00 US/Eastern,1814.01,1820.0,1812.17,1814.33,-1
20230307 18:30:00 US/Eastern,1813.7,1814.4,1813.23,1813.84,-1
20230307 19:00:00 US/Eastern,1813.26,1814.28,1812.28,1813.42,-1
20230307 19:30:00 US/Eastern,1812.94,1813.57,1812.5,1813.08,-1
20230307 20:00:00 US/Eastern,1812.22,1813.77,1811.35,1812.42,-1
20230307 20:30:00 US/Eastern,1812.94,1814.32,1812.04,1813.12,-1
20230307 21:00:00 US/Eastern,1812.36,1813.12,1811.91,1812.53,-1
20230307 21:30:00 US/Eastern,1811.64,1812.92,1810.6,1811.78,-1
20230307 22:00:00 US/Eastern,1810.49,1811.74,1809.55,1810.68,-1
20230307 22:30:00 US/Eastern,1809.98,1810.8,1809.48,1810.16,-1
20230307 23:00:00 US/Eastern,1810.46,1811.44,1809.81,1810.62,-1
20230307 23:30:00 US/Eastern,1810.75,1811.91,1810.25,1810.96,-1
20230308 00:00:00 US/Eastern,1811.13,1811.98,1810.49,1811.32,-1
20230308 00:30:00 US/Eastern,1811.82,1813.1,1811.01,1812.03,-1
20230308 01:00:00 US/Eastern,1812.53,1813.43,1811.46,1812.65,-1
20230308 01:30:00 US/Eastern,1812.85,1814.13,1811.52,1812.96,-1
20230308 02:00:00 US/Eastern,1813.71,1814.81,1812.87,1813.87,-1
20230308 02:30:00 US/Eastern,1813.97,1815.17,1813.03,1814.11,-1
20230308 03:00:00 US/Eastern,1814.03,1815.38,1813.21,1814.22,-1
20230308 03:30:00 US/Eastern,1814.1,1815.29,1813.34,1814.2,-1
20230308 04:00:00 US/Eastern,1814.0,1815.02,1812.92,1814.11,-1
20230308 04:30:00 US/Eastern,1814.48,1815.43,1813.6,1814.65,-1
20230308 05:00:00 US/Eastern,1813.83,1814.69,1812.75,1813.98,-1
20230308 05:30:00 US/Eastern,1813.4,1815.0,1812.41,1813.54,-1
20230308 06:00:00 US/Eastern,1815.79,1816.77,1813.97,1815.9,-1
20230308 06:30:00 US/Eastern,1815.79,1816.82,1814.77,1815.93,-1
20230308 07:00:00 US/Eastern,1815.06,1816.09,1813.93,1815.23,-1
20230308 07:30:00 US/Eastern,1814.4,1815.4,1813.38,1814.57,-1
20230308 08:00:00 US/Eastern,1813.9,1815.43,1812.44,1814.08,-1
20230308 08:30:00 US/Eastern,1813.31,1815.35,1812.22,1813.45,-1
20230308 09:00:00 US/Eastern,1813.92,1815.22,1812.97,1814.08,-1
20230308 09:30:00 US/Eastern,1818.09,1821.76,1813.37,1818.24,-1
20230308 10:00:00 US/Eastern,1819.41,1824.01,1816.04,1819.56,-1
20230308 10:30:00 US/Eastern,1821.06,1824.43,1819.22,1821.23,-1
20230308 11:00:00 US/Eastern,1820.87,1821.98,1819.74,1821.01,-1
20230308 11:30:00 US/Eastern,1818.75,1820.23,1817.37,1818.89,-1
20230308 12:00:00 US/Eastern,1816.38,1818.39,1815.3,1816.53,-1
20230308 12:30:00 US/Eastern,1816.88,1818.44,1815.21,1817.03,-1
20230308 13:00:00 US/Eastern,1815.04,1816.34,1813.82,1815.18,-1
20230308 13:30:00 US/Eastern,1814.32,1815.94,1813.3,1814.48,-1
20230308 14:00:00 US/Eastern,1815.6,1816.55,1814.4,1815.76,-1
20230308 14:30:00 US/Eastern,1815.8,1816.49,1815.29,1815.98,-1
20230308 15:00:00 US/Eastern,1815.37,1816.46,1814.39,1815.52,-1
20230308 15:30:00 US/Eastern,1814.33,1814.97,1812.87,1814.48,-1
20230308 16:00:00 US/Eastern,1814.09,1814.73,1813.16,1814.21,-1
20230308 16:30:00 US/Eastern,1813.78,1814.2,1813.44,1813.92,-1
20230308 18:00:00 US/Eastern,1814.63,1822.0,1812.78,1814.87,-1
20230308 18:30:00 US/Eastern,1814.93,1815.55,1814.46,1815.14,-1
20230308 19:00:00 US/Eastern,1815.38,1816.07,1814.75,1815.56,-1
20230308 19:30:00 US/Eastern,1815.62,1816.62,1814.82,1815.84,-1
20230308 20:00:00 US/Eastern,1814.96,1816.74,1814.44,1815.19,-1
20230308 20:30:00 US/Eastern,1813.37,1815.2,1812.2,1813.56,-1
20230308 21:00:00 US/Eastern,1812.72,1813.56,1812.0,1812.87,-1
20230308 21:30:00 US/Eastern,1813.49,1814.27,1812.86,1813.66,-1
20230308 22:00:00 US/Eastern,1813.08,1813.87,1812.62,1813.28,-1
20230308 22:30:00 US/Eastern,1813.64,1814.2,1813.26,1813.82,-1
20230308 23:00:00 US/Eastern,1813.19,1813.98,1812.88,1813.37,-1
20230308 23:30:00 US/Eastern,1813.39,1814.78,1812.68,1813.57,-1
20230309 00:00:00 US/Eastern,1815.08,1816.25,1813.83,1815.28,-1
20230309 00:30:00 US/Eastern,1815.4,1816.29,1814.83,1815.6,-1
20230309 01:00:00 US/Eastern,1814.8,1815.79,1814.06,1814.99,-1
20230309 01:30:00 US/Eastern,1813.61,1814.47,1812.98,1813.84,-1
20230309 02:00:00 US/Eastern,1813.73,1815.43,1812.77,1813.87,-1
20230309 02:30:00 US/Eastern,1814.98,1815.84,1814.17,1815.2,-1
20230309 03:00:00 US/Eastern,1814.63,1815.93,1813.69,1814.85,-1
20230309 03:30:00 US/Eastern,1817.13,1819.28,1814.55,1817.32,-1
20230309 04:00:00 US/Eastern,1816.84,1817.81,1816.25,1817.02,-1
20230309 04:30:00 US/Eastern,1817.37,1819.36,1816.49,1817.56,-1
20230309 05:00:00 US/Eastern,1817.23,1818.18,1816.6,1817.38,-1
20230309 05:30:00 US/Eastern,1817.94,1818.54,1817.2,1818.1,-1
20230309 06:00:00 US/Eastern,1819.21,1820.36,1817.87,1819.37,-1
20230309 06:30:00 US/Eastern,1819.7,1820.53,1818.67,1819.82,-1
20230309 07:00:00 US/Eastern,1818.78,1819.64,1818.04,1818.93,-1
20230309 07:30:00 US/Eastern,1817.9,1818.77,1817.17,1818.06,-1
20230309 08:00:00 US/Eastern,1817.18,1818.46,1815.49,1817.29,-1
20230309 08:30:00 US/Eastern,1822.29,1825.5,1817.19,1822.42,-1
20230309 09:00:00 US/Eastern,1825.97,1828.18,1823.97,1826.12,-1
20230309 09:30:00 US/Eastern,1829.46,1832.07,1825.5,1829.61,-1
20230309 10:00:00 US/Eastern,1832.07,1835.82,1829.43,1832.2,-1
20230309 10:30:00 US/Eastern,1831.08,1833.04,1828.14,1831.22,-1
20230309 11:00:00 US/Eastern,1827.75,1829.47,1826.22,1827.87,-1
20230309 11:30:00 US/Eastern,1828.04,1830.5,1825.81,1828.17,-1
20230309 12:00:00 US/Eastern,1827.8,1829.14,1825.55,1827.94,-1
20230309 12:30:00 US/Eastern,1828.88,1829.66,1828.29,1828.99,-1
